|avg_pur_days|general_type|item_totals
0|16.0|whipped_cream|3.0
1|22.333333333333332|sf_cooking_oil|3.0
2|9.571428571428571|waffles|7.0
3|8.375|cilantro|8.0
4|0.0|kids_wash|1.0
5|16.0|dish_wash|3.0
6|13.4|coffee_creamer|5.0
7|0.0|fruit_pouch|1.0
8|8.0|spinach|5.0
9|7.444444444444445|onions|9.0
10|4.0|milk|14.0
11|0.0|pancake_syrup|1.0
12||waffles|
13|9.6|eggs|5.0
14|11.2|strawberries|5.0
15|17.5|oats|2.0
16|28.0|toilet_paper|2.0
17|28.0|bathroom_cleaner|2.0
18|33.5|beans|2.0
19|7.166666666666667|tomatoes|6.0
20|11.666666666666666|bell_pepper|3.0
21|12.75|cauliflower|4.0
22||cilantro|
23|0.0|dinner_rolls|1.0
24||milk|
25||milk|
26|12.75|bread|4.0
27|17.0|coffee|3.0
28|5.0|pain_killer|2.0
29|15.5|blueberries|4.0
30|0.0|dates|1.0
31|8.0|potatoes|2.0
32||tomatoes|
33|0.0|rice|1.0
34||spinach|
35||eggs|
36||cauliflower|
37||cilantro|
38||dish_wash|
39|0.0|almonds|1.0
40|0.0|face_wash|1.0
41|20.5|kids_toothpaste|2.0
42|12.5|toothpaste|2.0
43||pain_killer|
44|0.0|insect_killer|1.0
45|17.333333333333332|peas|3.0
46||milk|
47||strawberries|
48||milk|
49||onions|
50|10.0|dish_scrub|2.0
51||tomatoes|
52||bell_pepper|
53||spinach|
54||blueberries|
55||onions|
56||potatoes|
57|0.0|mouthwash|1.0
58|0.0|airfreshner|1.0
59|17.5|walnut|2.0
60|13.5|chickpeas|2.0
61|13.5|honey|2.0
62||milk|
63||coffee_creamer|
64||bread|
65|13.5|salt|2.0
66|0.0|ginger|1.0
67|9.333333333333334|bananas|3.0
68||tomatoes|
69|0.0|energy_drink|1.0
70|0.0|laundry_detergent|1.0
71||milk|
72||milk|
73|0.0|trail_mix|1.0
74||cilantro|
75|10.0|lime|2.0
76||cauliflower|
77||onions|
78||strawberries|
79|10.0|almond_milk|2.0
80||eggs|
81||sf_cooking_oil|
82|19.5|yogurt|2.0
83|14.0|cheese_sticks|2.0
84||peas|
85||whipped_cream|
86||waffles|
87||waffles|
88|0.0|ziplock|1.0
89|10.0|grapes|2.0
90||tomatoes|
91|0.0|spinbrush_head|1.0
92|16.0|raspberries|2.0
93|0.0|almond_butter|1.0
94||coffee|
95|0.0|fiber|1.0
96|0.0|roasted_peanuts|1.0
97|0.0|surface_cleaner|1.0
98|0.0|handsoap|1.0
99||oats|
100||dish_scrub|
101||spinach|
102|0.0|sugar|1.0
103||coffee_creamer|
104|6.5|olive_oil|2.0
105||milk|
106||bread|
107||onions|
108|0.0|anti_itch|1.0
109|0.0|tortilla|1.0
110|0.0|fruit_crisps|1.0
111|0.0|ordor_eliminator|1.0
112|0.0|cabbage|1.0
113||bananas|
114|0.0|cracker|1.0
115|0.0|juice|1.0
116||strawberries|
117|8.0|avocado|2.0
118|0.0|hummus|1.0
119||blueberries|
120|0.0|garlic|1.0
121||spinach|
122||toothpaste|
123|0.0|paper_towels|1.0
124||bell_pepper|
125||milk|
126||eggs|
127||onions|
128||cilantro|
129|8.0|cheese|2.0
130|0.0|black_beans|1.0
131|0.0|taco_seasoning|1.0
132||tomatoes|
133||whipped_cream|
134||waffles|
135||onions|
136||milk|
137||honey|
138||olive_oil|
139||chickpeas|
140||milk|
141||eggs|
142||cilantro|
143||lime|
144||almond_milk|
145|0.0|protein_bar|1.0
146||dish_wash|
147||salt|
148|0.0|foam_plates|1.0
149|0.0|trash_bags|1.0
150|9.5|wipes|2.0
151||grapes|
152||bananas|
153||avocado|
154||cilantro|
155|0.0|popcorn|1.0
156||cauliflower|
157|5.5|nasal_mist|2.0
158|0.0|cereal|1.0
159||onions|
160||waffles|
161||coffee_creamer|
162|0.0|cucmber|1.0
163||strawberries|
164||milk|
165||milk|
166||walnut|
167|0.0|chia_seeds|1.0
168||cheese|
169||cheese_sticks|
170||bread|
171||bathroom_cleaner|
172|0.0|toilet_cleaner|1.0
173||coffee|
174||toilet_paper|
175||kids_toothpaste|
176||cilantro|
177||onions|
178||sf_cooking_oil|
179|0.0|baby_carrots|1.0
180||coffee_creamer|
181||waffles|
182||beans|
183||peas|
184|0.0|printer_paper|1.0
185|0.0|cereal_bar|1.0
186|0.0|pasta|1.0
187||nasal_mist|
188||wipes|
189||raspberries|
190||blueberries|
191||yogurt|
192|0.0|cookies|1.0
